0.059765,0.226743,1
0.075747,1.03589,3
0.077346,2.41712,5
0.084384,4.43333,7
0.089629,7.12392,9
0.097031,10.4749,11
0.104983,13.955,13
0.110528,18.3045,15
0.116385,23.6287,17
0.123102,28.768,19
0.194561,33.876,21
0.152793,39.5415,23
0.143601,44.9288,25
0.149059,50.9215,27
0.155202,57.0299,29
0.162313,63.3809,31
0.168477,71.5687,33
0.174169,78.3297,35
0.185868,95.3038,37
0.187224,93.0994,39
0.192571,97.9284,41
0.199787,104.168,43
0.203704,113.945,45
0.209213,119.215,47
0.215917,126.548,49
0.222772,134.832,51
0.223108,134.561,53
0.227266,139.708,55
0.231431,144.142,57
0.237609,148.182,59
0.242061,151.936,61
0.248065,156.794,63
