0.040578,0.210068,1
0.054648,0.966371,3
0.056576,2.13394,5
0.063463,3.95869,7
0.071201,6.29303,9
0.079671,9.3087,11
0.087688,12.5043,13
0.094472,16.3955,15
0.102048,21.411,17
0.107968,24.948,19
0.113854,30.8119,21
0.135118,38.0626,23
0.12566,42.6726,25
0.137047,48.3729,27
0.137344,52.2959,29
0.143278,57.8131,31
0.14925,65.6499,33
0.155275,72.6884,35
0.170579,78.0291,37
0.165989,83.5586,39
0.172147,89.0342,41
0.178661,94.574,43
0.183755,102.5,45
0.197269,110.532,47
0.204577,114.412,49
0.200886,119.085,51
0.206176,123.217,53
0.210614,126.259,55
0.214615,129.985,57
0.219309,133.824,59
0.233016,138.296,61
0.229117,141.83,63
